ID,Taxon,Family,Overwintering_stage,,,,Overwintering_location,,,,,,,Voltinism,,,,,Pupal_location,,,,,,Ant_association,,,Forewing_length,,,,,,,,,,,,,,,,Wingspan,,,,,,,,Hostplant_family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hostplant_specificity,,,,Hostplant_type,,,,Hostplant_growth_form,,,,,,Hostplant_part,,,,Hostplant_age,,Larval_environment,,,,,,Hostplant_patch_size,,,Egg_laying_type,,,Egg_laying_location,,,,,,,Egg_lay_light_environment,,,Flight_months,,,,,,,,,,,,Adult_feeding,,,,,,,,,Adult_roosting,,,,,,,,,,,,,,Mate_locating_type,,,,Mate_locating_location,,,,,,,,,,,,Basking_type,,,Basking_site,,,,,,,,,,,,
database_ID,Taxa name,Family,OvS_egg_E,OvS_larva_L,OvS_pupa_P,OvS_adult_A,OvL_buried_Bu,OvL_surface_Su,OvL_short_sward_Ss,OvL_tall_sward_Ts,OvL_shrub_Sb,OvL_tree_Tr,OvL_liana_Li,Vol_biennial_0.5,Vol_univoltine_1,Vol_uni+partial2_1.5,Vol_bivoltine_2,Vol_multivoltine_3,PuL_buried_Bu,PuL_groundlayer_Gl,PuL_fieldlayer_Gl,PuL_shrub_layer_Sl,PuL_canopy_layer_Cl,PuL_attended_At,AnA_monospecific_M,AnA_oligospecific_O,AnA_polyspecific_P,FoL_var_male_min,FoL_var_male_max,FoL_var_male_average,FoL_var_male_variation,FoL_var_female_min,FoL_var_female_max,FoL_var_female_average,FoL_var_female_variation,FoL_HR_min,FoL_HR_max,FoL_HR_average,FoL_HR_variation,FoL_Ten_min,FoL_Ten_max,FoL_Ten_average,FoL_Ten_variation,WSp_Ts_male_min,WSp_Ts_male_max,WSp_Ts_male_average,WSp_Ts_male_variation,WSp_Ts_female_min,WSp_Ts_female_max,WSp_Ts_female_average,WSp_Ts_female_variation,HPF_Adoxacee,HPF_Amaranthaceae,HPF_Apiaceae,HPF_Apocynaceae,HPF_Aquifoliaceae,HPF_Araliaceae,HPF_Arecaceae,HPF_Aristolochiaceae,HPF_Asteraceae,HPF_Berberidaceae,HPF_Betulaceae,HPF_Boraginaceae,HPF_Brassicaceae,HPF_Cannabaceae,HPF_Capparaceae,HPF_Caprifoliaceae,HPF_Celastraceae,HPF_Cistaceae,HPF_Cleomaceae,HPF_Convolvulaceae,HPF_Coriariaceae,HPF_Cornaceae,HPF_Crassulaceae,HPF_Cyperaceae,HPF_Elaeagnaceae,HPF_Ericaceae,HPF_Escalloniaceae,HPF_Fabaceae,HPF_Fagaceae,HPF_Gentianaceae,HPF_Geraniaceae,HPF_Graminaceae,HPF_Grossulariaceae,HPF_Juncaceae,HPF_Lamiaceae,HPF_Lauraceae,HPF_Leguminosae,HPF_Lythraceae,HPF_Malpighiaceae,HPF_Malvaceae,HPF_Mimosaceae,HPF_Moraceae,HPF_Oleaceae,HPF_Orobanchaceae,HPF_Papaveraceae,HPF_Phyllanthaceae,HPF_Plantaginaceae,HPF_Plumbaginaceae,HPF_Poaceae,HPF_Polygonaceae,HPF_Portulacaceae,HPF_Primulaceae,HPF_Punicaceae,HPF_Ranunculaceae,HPF_Resedaceae,HPF_Rhamnaceae,HPF_Rosaceae,HPF_Rutaceae,HPF_Salicaceae,HPF_Santalaceae,HPF_Saxifragaceae,HPF_Scrophulariaceae,HPF_Solanaceae,HPF_Talinaceae,HPF_Tropaeolaceae,HPF_Ulmaceae,HPF_Urticaceae,HPF_Violaceae,HPF_Zygophyllaceae,HPS_monophage,HPS_oligophag (within one genus),HPS_oligophag (within one family ),HPS_polyphag,HPT_biennial_Bi,HPT_annual_An,HPT_herbaceaous perennial_Hp,HPT_woody perennial_Wp,HPG_short herb_grass_Sh,HPG_tall herb (over 30cm height)_Th,HPG_shrub_Sb,HPG_tree_Tr,HPG_non plant_Np,HPG_liana_Li,HPP_flowers_pod_Fl,HPP_leaf_Le,HPP_bud_Bu,HPP_stem_St,HPA_small_immature_Si,HPA_old_Ol,LEv_buried_Bu,LEv_groundlayer_Gl,LEv_fieldlayer_Fl,LEv_shrublayer_Sl,LEv_canopy layer_Cl,LEv_Attended_At,HPPS_large patch_Lp,HPPS_medium patch_Mp,HPPS_small/single_Ss,ELT_single_Se,ELT_small batch_Sb,ELT_large batch_Lb,ELL_bare ground or ground artifact_ Bg,ELL_short turf_herbs_Sh,ELL_tall_mature herbs_Th,ELL_shrub_Sb,ELL_tree trunk_Tt,ELL_canopy_Ca,ELL_liana_Li,ELA_light_Li,ELA_partial shade_Ps,ELA_shade_Sh,FMo_Jan,FMo_Feb,FMo_Mar,FMo_Apr,FMo_May,FMo_Jun,FMo_Jul,FMo_Aug,FMo_Sep,FMo_Oct,FMo_Nov,FMo_Dec,AdF_herb/flower_Hf,AdF_ergot_Er,AdF_shrub/tree flower_Sf,AdF_honeydew_Hd,AdF_sap_Sa,AdF_decaying plants_Dp,AdF_animal_An,AdF_mineral_Mi,AdF_hostplant coincidence_Hc,AdR_Bare ground_Bg,AdR_tree trunk/fence,AdR_short turf_St,AdR_grasses,AdR_short herb,AdR_tall herb,AdR_shrub,AdR_tree canopy,AdR_liana,AdR_exposed,AdR_communal,AdR_on hostplant,AdR_off hostplant,AdR_Manmade structure,MLT_patrolling_Pa,MLT_perching_Pn,MLT_territorial perching_Pt,MLT_lekking_Le,MLL_rock or cliff_Rc,MLL_bare earth_Be,MLL_short herbs_Sh,MLL_grass_Gr,MLL_tall herbs_Th,MLL_shrubs_Sb,MLL_tree canopy_Tc,MLL_nectar site_Ns,MLL_hostplant site_Hs,MLL_physical edge site_Ps,MLL_light edge site_Ls,MLL_hilltop_Ht,BaT_dorsalabsorb_Da,BaT_doesalreflect_Dr,BaT_lateral_La,BaS_rock\bare earth_Bg,BaS_short herb_Sh,BaS_grasses_Gr,BaS_tall herbs_Th,BaS_shrub_Sb,BaS_tree canopy_Tc,BaS_Manmade structure_Ms,,,,,,
97,Pieris_brassicae,Pieridae,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,28,35,31.5,0.222,28,35,31.5,0.22,28,33,30.5,0.164,28,33,30.5,0.164,49,62,55.5,0.234,51,63,57,0.211,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,NA,NA,NA,0,1,1,0,1,1,0,0,0,0,NA,NA,NA,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,,,,,,
98,Pieris_wollastoni,Pieridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,62,55.5,0.234,51,63,57,0.211,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
99,Pieris_cheiranthi,Pieridae,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,33,33,33,0.000,NA,NA,NA,NA,60,65,62.5,0.080,60,65,62.5,0.080,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,NA,NA,NA,0,1,1,0,0,1,0,0,0,0,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,,,,,,
100,Pieris_rapae,Pieridae,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,16.5,27.2,21.85,0.490,18.2,27,22.6,0.39,23,27,25,0.160,23,27,25,0.160,39,50,44.5,0.247,39,50,44.5,0.247,0,1,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,NA,NA,0,1,1,0,0,0,NA,NA,NA,0,1,0,0,1,1,0,0,0,0,NA,NA,NA,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,,,,,,
101,Pieris_mannii,Pieridae,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,20,26,23,0.261,20,26,23,0.26,20,26,23,0.261,23,26,24.5,0.122,40,46,43,0.140,40,46,43,0.140,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,NA,NA,NA,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,,,,,,
102,Pieris_ergane,Pieridae,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,19,24,21.5,0.233,19,24,21.5,0.23,19,24,21.5,0.233,NA,NA,NA,NA,36,48,42,0.286,36,48,42,0.286,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,NA,NA,NA,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,1,0,1,0,0,0,,,,,,
103,Pieris_bryoniae,Pieridae,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,20,26,23,0.261,20,26,23,0.26,NA,NA,NA,NA,NA,NA,NA,NA,34,47,40.5,0.321,32,45,38.5,0.338,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,NA,NA,NA,1,1,0,0,1,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,,,,,,
104,Pieris_napi,Pieridae,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,18,27,22.5,0.400,18,27,22.5,0.40,24,26,25,0.080,20,26,23,0.261,34,50,42,0.381,32,48,40,0.400,0,0,0,0,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,NA,NA,0,1,1,0,0,0,NA,NA,NA,1,0,0,0,1,1,0,0,0,0,NA,NA,NA,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,,,,,,
105,Pieris_segonzaci,Pieridae,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,25,26,25.5,0.039,22,26,24,0.167,44,52,48,0.167,44,52,48,0.167,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,NA,NA,NA,0,0,0,0,1,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
106,Pieris_balcana,Pieridae,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,NA,NA,NA,NA,NA,NA,0,0,0,22,30,26,0.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,47,40.5,0.321,32,45,38.5,0.338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
107,Euchloe_tagis,Pieridae,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,16,20.9,18.45,0.266,17.7,20.5,19.1,0.15,15,22,18.5,0.378,16,20,18,0.222,30,40,35,0.286,30,40,35,0.286,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,,,,,,
108,Euchloe_eversi,Pieridae,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,0,0,17,19,18.9,0.106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,44,40,0.200,36,44,40,0.200,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
109,Euchloe_grancanariensis,Pieridae,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,19,21,19.9,0.101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,44,40,0.200,36,44,40,0.200,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,,,,,,
110,Euchloe_hesperidum,Pieridae,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,16,17,16.7,0.060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,44,40,0.200,36,44,40,0.200,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,,,,,,
111,Euchloe_belemia,Pieridae,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,19,24,21.5,0.233,NA,NA,NA,NA,19,22,20.5,0.146,16,21,18.5,0.270,36,44,40,0.200,36,44,40,0.200,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,NA,NA,NA,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,,,,,,
112,Euchloe_insularis,Pieridae,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,18,22,20,0.200,NA,NA,NA,NA,33,36,34.5,0.087,33,36,34.5,0.087,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,NA,NA,NA,1,0,0,0,1,1,0,0,0,0,NA,NA,NA,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,,,,,,
113,Euchloe_crameri,Pieridae,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,16.3,24.7,20.5,0.410,16,26,21,0.48,NA,NA,NA,NA,NA,NA,NA,NA,40,48,44,0.182,40,48,44,0.182,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,,,,,,
114,Euchloe_simplonia,Pieridae,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,20,24,22,0.182,20,26,23,0.26,NA,NA,NA,NA,NA,NA,NA,NA,40,46,43,0.140,40,46,43,0.140,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,NA,NA,NA,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,,,,,,
115,Euchloe_ausonia,Pieridae,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,23,26,24.5,0.122,23,26,24.5,0.12,20,24,22,0.182,18,22,20,0.200,40,48,44,0.182,40,48,44,0.182,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,NA,NA,NA,1,0,0,0,1,1,0,0,0,0,NA,NA,NA,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,,,,,,
116,Euchloe_charlonia,Pieridae,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,14,16,15,0.133,13,16,14.5,0.207,32,36,34,0.118,32,36,34,0.118,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,NA,NA,NA,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,,,,,,
117,Euchloe_penia,Pieridae,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,18,18,18,0.000,NA,NA,NA,NA,32,36,34,0.118,32,36,34,0.118,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,NA,NA,0,1,1,0,0,0,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,NA,NA,NA,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,1,0,0,0,0,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
