ID,Taxon,Family,WIn,FMo_Average
499,Erebia_hispania,Nymphalidae,-0.002,2.5
500,Erebia_callias,Nymphalidae,-9.55E-03,3.5
501,Erebia_rondoui,Nymphalidae,-0.012,2
502,Erebia_tyndarus,Nymphalidae,-0.017,3
503,Erebia_arvernensis,Nymphalidae,-0.008912732,4
504,Erebia_cassioides,Nymphalidae,-0.016,3
505,Erebia_neleus,Nymphalidae,4.71E-05,3
506,Erebia_nivalis,Nymphalidae,-0.026,1.5
507,Erebia_calcarius,Nymphalidae,-0.012,3
508,Erebia_oeme,Nymphalidae,0.002,3
509,Erebia_gorge,Nymphalidae,-0.010,3
510,Erebia_sthennyo,Nymphalidae,0.005,2.5
511,Erebia_pandrose,Nymphalidae,0.009,2.5
512,Erebia_eriphyle,Nymphalidae,-0.015,3
513,Erebia_epistygne,Nymphalidae,0.023,3
514,Erebia_euryale,Nymphalidae,0.008,3
515,Erebia_palarica,Nymphalidae,0.056,3
516,Erebia_ligea,Nymphalidae,0.020,3
517,Erebia_pluto,Nymphalidae,0.016,2.5
518,Erebia_aethiopellus,Nymphalidae,-0.009,2
519,Erebia_gorgone,Nymphalidae,0.002,2
520,Erebia_rhodopensis,Nymphalidae,-0.005,1.5
521,Erebia_mnestra,Nymphalidae,-0.009,2
522,Erebia_albergana,Nymphalidae,0.005,3
523,Erebia_sudetica,Nymphalidae,-0.031,2.5
524,Erebia_melampus,Nymphalidae,-0.025,3
525,Erebia_triarius,Nymphalidae,0.021,4
526,Erebia_polaris,Nymphalidae,-0.001,1.5
527,Erebia_medusa,Nymphalidae,0.002,3.5
528,Erebia_aethiops,Nymphalidae,0.022,3.5
529,Erebia_pharte,Nymphalidae,-0.015,2
530,Erebia_christi,Nymphalidae,-0.009,2.5
531,Erebia_orientalis,Nymphalidae,-0.009,2.5
532,Erebia_epiphron,Nymphalidae,-0.011,2.5
533,Erebia_flavofasciata,Nymphalidae,-0.022,3
534,Erebia_montana,Nymphalidae,0.021,3
535,Erebia_styx,Nymphalidae,0.030,3
536,Erebia_stiria,Nymphalidae,0.022,3
537,Erebia_scipio,Nymphalidae,0.025,2
538,Erebia_pronoe,Nymphalidae,0.018,3.5
539,Erebia_melas,Nymphalidae,0.016,3.5
540,Erebia_lefebvrei,Nymphalidae,0.012,3
541,Erebia_zapateri,Nymphalidae,-0.002,3.5
542,Erebia_neoridas,Nymphalidae,0.002,2.5
