ID,Taxon,Family,WIn,FMo_Average
118,Euchloe_bazae,Pieridae,-0.014,4
119,Euchloe_falloui,Pieridae,-0.007,7
120,Zegris_pyrothoe,Pieridae,-0.008,2
121,Zegris_eupheme,Pieridae,0.031,4
122,Anthocharis_euphenoides,Pieridae,-0.012,3.5
123,Anthocharis_belia,Pieridae,-0.011,6
124,Anthocharis_cardamines,Pieridae,0.001,4
125,Anthocharis_gruneri,Pieridae,-0.024,4
126,Anthocharis_damone,Pieridae,-0.005,3
127,Hamearis_lucina,Riodinidae,-0.032,6
128,Lycaena_dimorpha,Lycaenidae,-0.046,2
129,Lycaena_helle,Lycaenidae,-0.052,6
130,Lycaena_alciphron,Lycaenidae,-0.018,4
131,Lycaena_thetis,Lycaenidae,-0.037,2
132,Lycaena_thersamon,Lycaenidae,-0.035,9
133,Lycaena_phoebus,Lycaenidae,-0.048,6
134,Lycaena_dispar,Lycaenidae,-0.012,6.5
135,Lycaena_hippothoe,Lycaenidae,-0.027,4.5
136,Lycaena_candens,Lycaenidae,-0.012,3.5
137,Lycaena_ottomana,Lycaenidae,-0.038,7
138,Lycaena_bleusei,Lycaenidae,-0.035,9
139,Lycaena_phlaeas,Lycaenidae,-0.048,9.5
140,Lycaena_virgaureae,Lycaenidae,-0.035,5
141,Lycaena_tityrus,Lycaenidae,-0.036,7
142,Cigaritis_zohra,Lycaenidae,-0.056,3
143,Cigaritis_siphax,Lycaenidae,-0.055,7
144,Cigaritis_allardi,Lycaenidae,-0.050,3
145,Cigaritis_acamas,Lycaenidae,-0.037,7.5
146,Thecla_betulae,Lycaenidae,-0.016,4.5
147,Favonius_quercus,Lycaenidae,-0.032,5
148,Laeosopis_roboris,Lycaenidae,-0.031,3
149,Tomares_ballus,Lycaenidae,-0.038,4
150,Tomares_nogelii,Lycaenidae,-0.032,3.5
151,Tomares_callimachus,Lycaenidae,-0.044,3
152,Tomares_mauretanicus,Lycaenidae,-0.044,7
153,Deudorix_livia,Lycaenidae,-0.026,10
154,Callophrys_avis,Lycaenidae,-0.028,3
155,Callophrys_rubi,Lycaenidae,-0.047,6
156,Callophrys_suaveola,Lycaenidae,-0.029,2
157,Callophrys_chalybeitincta,Lycaenidae,-0.048451335,3.5
158,Neolycaena_rhymnus,Lycaenidae,-0.046,3
159,Satyrium_pruni,Lycaenidae,-0.033,3
160,Satyrium_ilicis,Lycaenidae,-0.025,4
161,Satyrium_esculi,Lycaenidae,-0.029,4
162,Satyrium_ledereri,Lycaenidae,-0.040,3.5
163,Satyrium_w-album,Lycaenidae,-0.029,3
164,Satyrium_spini,Lycaenidae,-0.033,3.5
165,Satyrium_acaciae,Lycaenidae,-0.036,3
166,Leptotes_pirithous,Lycaenidae,-0.053,8
167,Cyclyrius_webbianus,Lycaenidae,-0.041,12
168,Azanus_ubaldus,Lycaenidae,-0.079,8.5
169,Azanus_jesous,Lycaenidae,-0.062,7
170,Lampides_boeticus,Lycaenidae,-0.030,9
171,Cacyreus_marshalli,Lycaenidae,-0.057,8
172,Celastrina_argiolus,Lycaenidae,-0.039,7
173,Tarucus_theophrastus,Lycaenidae,-0.065,6
174,Tarucus_rosaceus,Lycaenidae,-0.067,9
175,Tarucus_balkanicus,Lycaenidae,-0.066,7
176,Phengaris_alcon,Lycaenidae,-0.013,3
177,Phengaris_arion,Lycaenidae,-0.013,4
178,Phengaris_teleius,Lycaenidae,-0.021,3
179,Phengaris_nausithous,Lycaenidae,-0.015,3
180,Turanana_taygetica,Lycaenidae,-0.063,4
181,Pseudophilotes_bavius,Lycaenidae,-0.047,3
